year,title
2012,Tourniquet use in upper limb surgery.
2012,"Cancer mortality, state mean elevations, and other selected predictors."
2012,The association between self perceptions of psychological well-being and overweight in Brazilian children.
2012,A primary care healthy choices intervention program for overweight and obese school-age children and their parents.
2012,Patient preferences and linear scoring rules for patient-reported outcomes.
2012,Effects of dietary fiber and its components on metabolic health.
2012,Long-chain omega-3 polyunsaturated fatty acids may be beneficial for reducing obesity-a review.
2012,"Inheritances, health and death."
2012,Somatic DNA damages in cardiovascular autonomic neuropathy.
2012,"Comparison between serum insulin levels and its resistance with biochemical, clinical and anthropometric parameters in South Indian children and adolescents."
2012,Practising what we preach: A look at healthy active living policy and practice in Canadian paediatric hospitals.
2012,Development and pilot of a low-literacy diabetes education book using social marketing techniques.
2012,Genetic and epigenetic dysregulation of imprinted genes in the brain.
2012,Robot-assisted laparoscopic radical prostatectomy in the morbidly obese patient.
2011,The effect of education on behavioral intention model of mothers' attitude towards over weight preschool children's nutritional patterns.
2011,"Pulse consumption, satiety, and weight management."
2011,Epigenetics: A New Bridge between Nutrition and Health.
2011,"Effect of Treatment with Metformin on Omentin-1, Ghrelin and other Biochemical, Clinical Features in PCOS Patients."
2011,"Using path analysis to understand parents' perceptions of their children's weight, physical activity and eating habits in the Champlain region of Ontario."
2013,Increased cerebral oxygen metabolism and ischemic stress in subjects with metabolic syndrome-associated risk factors: preliminary observations.
2011,Male and female differences in variability with estimating body fat composition using skinfold calipers.
2012,Glucose sensing neurons in the ventromedial hypothalamus.
2012,"Multimorbidity, the predominant predictor of quality-of-life, following successful spinal cord stimulation for angina pectoris."
2011,Resistance Training Is an Effective Tool against Metabolic and Frailty Syndromes.
2011,"Obesity, chronic disease, and economic growth: a case for &quot;big picture&quot; prevention."
2011,Subclinical coronary atherosclerosis identified by coronary computed tomographic angiography in asymptomatic morbidly obese patients.
2011,[Phenomenological study of infertile women with obesity].
2012,Improving women's health is a shared priority.
2012,Neuropsychiatric adverse effects of centrally acting antiobesity drugs.
2011,Vulvar abscess: a retrospective review.
2012,"Anger, stress and blood pressure in overweight children."
2012,Parental perception of preschool child body weight.
2012,What can parents do to reduce youth obesity? An initial study with a diverse sample.
2012,"Prediabetes and blood pressure effects on heart rate variability, QT-interval duration, and left ventricular hypertrophy in overweight-obese adolescents."
2011,Exercise intolerance in obese children--is it asthma?
2012,[Clinical features and mechanisms of chronic migraine and medication-overuse headache].
2011,Effect of methanolic seed extract of Momordica charantia on body weight and serum cholesterol level of male Sprague-Dawley rats.
2012,Prevalence and epidemiology of overweight and obesity in children with inflammatory bowel disease.
2012,Beverage consumption and anthropometric outcomes among schoolchildren in Guatemala.
2011,"Childhood overweight and obesity management: A national perspective of primary health care providers' views, practices, perceived barriers and needs."
2014,Role of media and peers on body change strategies among adult men: is body size important?
2014,Emotion and eating in binge eating disorder and obesity.
2011,Metabolic clues: novel directives for broad treatment strategies.
2011,Predictive impact of coronary risk factors in southern Croatia: a case control study.
2011,"Overweight and obesity in Slovenian schoolgirls, 1991-2006."
2011,Self-perceived body weight status and weight-control behaviors of high school students in a southern city of Turkey.
2011,"Parents' perceptions of their children's weight, eating habits, and physical activities at home and at school."
2011,[Acceptance of yoghurt with different functional ingredients among consumers in supermarkets in southern Chile].
2011,"Overweight and obesity related factors in schoolchildren in Santa Catarina State, Brazil."
2011,[Prevalence of obesity and level of activity physical in school adolescents].
2011,"[Physical activity and healthy diet, weight perception and stress in adult population in Chile: analysis of the second quality of life and health survey 2006]."
2011,"Schizophrenia, cancer and obstetric complications in an evolutionary perspective-an empirically based hypothesis."
2011,The interaction of short-chain fatty acids with adipose tissue: relevance for prevention of type 2 diabetes.
2011,Intestinal microbiota and overweight.
2011,Early nutritional environment: focus on health effects of microbiota and probiotics.
2012,Effects of posture on lung function in obese children.
2012,Clinical and functional prediction of moderate to severe obstructive sleep apnoea.
2012,[Analysis of the body composition of Spanish women with fibromyalgia].
2012,Anti-obesity and anti-diabetic effects of ethanol extract of Artemisia princeps in C57BL/6 mice fed a high-fat diet.
2012,Red wine: a source of potent ligands for peroxisome proliferator-activated receptor γ.
2011,Double skull base defects with primary spontaneous cerebrospinal fluid leaks in a single patient: temporal and sphenoid bones.
2011,Adiponectin receptor expression in human malignant tissues.
2011,"The food movement, rising."
2011,[The frequency of cardiovascular disease-associated risk factors in a university student population].
2011,[Waist circumference: a measure that tells a lot].
2019,Associations Between Mothers' and Their Children's Weights at 4 Years of Age.
2011,"Omentin: a novel link between inflammation, diabesity, and cardiovascular disease."
2011,Photovoice engages rural youth in childhood obesity prevention.
2011,Metabolic surgery for type 2 diabetes.
2011,Body mass index and the risk of acute injury in adolescents.
2011,Evaluation of tumor necrosis factor-α (TNF-α) levels in plasma and their correlation with periodontal status in obese and non-obese subjects.
2011,A community based study of the relationship between homocysteine and some of the life style factors.
2011,"Greek children living in rural areas are heavier but fitter compared to their urban counterparts: a comparative, time-series (1997-2008) analysis."
2011,Pediatric obesity management in rural clinics in California and the role of telehealth in distance education.
2011,Changes in dynamic insulin and gastrointestinal hormone secretion in obese children.
2011,"Testosterone, obesity and insulin resistance in young males: evidence for an association between gonadal dysfunction and insulin resistance during puberty."
2011,Endogenous hyperandrogenism and exercise capacity lessons from the exercise-congenital adrenal hyperplasia model.
2011,Cutaneous tuberculosis after mesotherapy: report of six cases.
2011,"Proceedings of the European Congress on Obesity (ECO). Geneva, Switzerland. May 2008."
2011,Relationship of social cognitive theory concepts to mothers' dietary intake and BMI.
2011,[Adipocytokines as mediators of metabolic role of adipose tissue].
2011,Consumption of 100% fruit juice and risk of obesity and metabolic syndrome: findings from the national health and nutrition examination survey 1999-2004.
2011,Effects of calcium and resistance exercise on body composition in overweight premenopausal women.
2011,Maternal obesity induces sustained inflammation in both fetal and offspring large intestine of sheep.
2012,Gene expression-based in vivo and in vitro prediction of liver toxicity allows compound selection at an early stage of drug development.
2011,Generalised musculoskeletal pain syndromes.
2011,How to measure the impact of musculoskeletal conditions.
2011,Acute effects of Surya Namaskar on the cardiovascular &amp; metabolic system.
2014,Screening of selected Asian spices for anti obesity-related bioactivities.
2011,Eating patterns in patients with spectrum binge-eating disorder.
2011,The serum leptin level and body mass index in Melanesian and Micronesian Solomon Islanders: focus on genetic factors and urbanization.
2012,The insulin polymorphism -23Hph increases the risk for type 1 diabetes mellitus in the Romanian population.
2011,Molecular forms of butyrylcholinesterase and obesity.
2011,An Evaluation of Holiday Weight Gain Among Elementary-aged Children.
2011,Pharmacological approaches for management of child and adolescent obesity.
2011,"Development of calorie restriction mimetics as therapeutics for obesity, diabetes, inflammatory and neurodegenerative diseases."
2013,Suboptimal management of cardiovascular risk factors in coronary heart disease patients in primary care occurs particularly in women.
2011,Self-management program for obesity control among middle-aged women in Korea: a pilot study.
2011,"[Fatty acid profile of high consumption foods by school population of the region Metropolitan of Chile, including trans fatty acid content]."
2011,[Estimation of body fat by DXA and the four compartment model in Mexican youth].
2011,"[Nutritional status, lifestyle and cardiovascular risk in lacto-ovo vegetarians and omnivore]."
2011,[Safety and tolerability of oral antidiabetes drugs in the treatment of type 2 diabetes mellitus].
2011,Metabolic syndrome and gastro-esophageal reflux: A link towards a growing interest in developed countries.
2011,Adipose tissue-derived progenitor cells and cancer.
2011,Safe laparoscopic removal of a 3200 gram fibroid uterus.
2011,Jejunal Bezoar causing obstruction after laparoscopic Roux-en-Y gastric bypass.
2011,Laparoscopic sleeve gastrectomy: our first 100 patients.
2011,Total laparoscopic hysterectomy: our 5-year experience (1998-2002).
2011,"Letter to the editor by Butler in response to &quot;obesity and cholesterol in Japanese, French, and U.S. Children&quot;."
2011,Lorcaserin for the treatment of obesity.
2011,Epicardial fat and its association with cardiovascular risk: a cross-sectional observational study.
2011,Acute coronary syndrome in young adults from oman: results from the gulf registry of acute coronary events.
2011,Does early school entry prevent obesity among adolescent girls?
2011,Engaging youth in improving their food and physical activity environments.
2020,Prieurianin Causes Weight Loss in Diet-Induced Obese Mice and Inhibits Adipogenesis in Cultured Preadipocytes.
2011,[Lifestyle modification--a behavioral and educational challenge].
2011,[Gain for pain: a model of a healthy lifestyle intervention in a population of mentally disabled adults].
2011,"Relationship between C-reactive protein and physical fitness, physical activity, obesity and selected cardiovascular risk factors in schoolchildren."
2019,Leptin-Induced Sympathetic Nerve Activation: Signaling Mechanisms and Cardiovascular Consequences in Obesity.
2011,Gestational weight gain and birthweight.
