year,title
2019,Prevention and treatment of trismus in head and neck cancer: A case report and a systematic review of the literature.
2019,National guidelines for evaluating pain-Patients' legal right to prioritised health care at multidisciplinary pain clinics in Norway implemented 2009.
2014,Conflicting stories about public scientific controversies: Effects of news convergence and divergence on scientists' credibility.
2013,Perspectives and potential applications of nanomedicine in breast and prostate cancer.
2013,Perspectives on medicinal properties of plumbagin and its analogs.
2020,Efficacy and tolerability of oxycodone in moderate-severe cancer-related pain: A meta-analysis of randomized controlled trials.
2020,Declines in serum CYFRA21-1 and carcinoembryonic antigen as predictors of chemotherapy response and survival in patients with advanced non-small cell lung cancer.
2013,Human Lung Cancer Risks from Radon - Part III - Evidence of Influence of Combined Bystander and Adaptive Response Effects on Radon Case-Control Studies - A Microdose Analysis.
2013,The cytologic diagnosis of epithelioid myxofibrosarcoma: a case report.
2013,Necrotic granulomatous pseudotumor following metal-on-metal hip arthroplasty: a potential mimic of sarcoma on fine needle aspiration cytology.
2013,Multifunctional roles of gelsolin in health and diseases.
2012,"Low grade squamous intraepithelial lesion, epithelial cell abnormality-adjusted workload, and the ThinPrep imaging system."
2012,Rapid prescreen of cervical liquid-based cytology preparations: results of a study in an academic medical center.
2012,Squash cytomorphology of central neurocytoma: a study of five cases.
2012,Utility of PAX8 and PAX2 immunohistochemistry in the identification of renal cell carcinoma in diagnostic cytology.
2012,Micronucleus assay in buccal smears of breast carcinoma patients.
2012,Retrospective cytological study of intraocular lymphoma using vitreous and intraocular perfusion fluid.
2012,"Use of telecytology for the immediate assessment of CT guided and endoscopic FNA cytology: diagnostic accuracy, advantages, and pitfalls."
2012,The effect of raloxifene on Bax protein expression in breast carcinomas of postmenopausal women.
2012,Low cost-effectiveness of CD3/CD20 immunostains for initial triage of lymphoid-rich effusions: an evidence-based review of the utility of these stains in selecting cases for full hematopathologic workup.
2012,Imaging in staging and management of pancreatic ductal adenocarcinoma.
2012,β-Elemene radiosensitizes lung cancer A549 cells by enhancing DNA damage and inhibiting DNA repair.
2012,Palmar fasciitis and polyarthritis syndrome in patients with ovarian cancer-a case report and review of the literature.
2012,Fine-needle aspiration in the evaluation of thyroid lesions in children.
2012,"Correlation of thyroid nodule fine-needle aspiration cytology with corresponding histology at Mayo Clinic, 2001-2007: an institutional experience of 1,945 cases."
2012,Fine-needle aspiration of thyroid tumors: identifying factors associated with adequacy rate in a large academic center in the Netherlands.
2012,Cytological findings of intrathyroidal epithelial thymoma/carcinoma showing thymus-like differentiation: a study of eight cases.
2012,Histologic follow-up of nondiagnostic thyroid fine needle aspirations: implications for adequacy criteria.
2012,Oral malignant melanoma--an unusual presentation.
2013,Pituitary metastasis revealed by a chiasma syndrome.
2012,Recognition of damaged DNA: structure and dynamic markers.
2012,Challenges to the development of bryostatin-type anticancer drugs based on the activation mechanism of protein kinase Cδ.
