year,title
2011,Wearable cardioverter-defibrillator as a bridge to implantable cardioverter-defibrillator treatment.
2011,Zirconium: biomedical and nephrological applications.
2011,Towards personalised ambient monitoring of mental health via mobile technologies.
2011,Ambulatory stress monitoring with a wearable bluetooth electrocardiographic device.
2011,Wearable dry sensors with bluetooth connection for use in remote patient monitoring systems.
2011,"Automatic external defibrillator, life vest defibrillator, or both?"
2011,Adaptive sleep-wake discrimination for wearable devices.
2011,The need to change our objective for artificial heart development: from totally implantable permanent ventricular assist devices to wearable therapeutic ventricular assist devices.
2011,The effect of blood content on the optical and dielectric skin properties.
2011,Low-power ultrawideband wireless telemetry transceiver for medical sensor applications.
2011,Wearable interrupter module for home-based applications in a telemedical system dedicated to respiratory mechanics measurements.
2011,Defining the user requirements for wearable and optical fall prediction and fall detection devices for home use.
2011,Processing of wearable sensor data on the cloud - a step towards scaling of continuous monitoring of health and well-being.
2011,Low power signal processing electronics for wearable medical devices.
2011,Design considerations on ultra-low-power wireless transmitters for wearable medical devices.
2011,Energy harvesting for human wearable and implantable bio-sensors.
2011,An introduction to future truly wearable medical devices--from application to ASIC.
2011,Multimodal BCI-mediated FES suppression of pathological tremor.
2011,Advances in wearable technology and its medical applications.
2011,A headband for classifying human postures.
2011,Performance evaluation of wearable wireless body area networks during walking motions in 444.5 MHz and 2450 MHz.
2011,Clip-on wireless wearable microwave sensor for ambulatory cardiac monitoring.
2011,Automatic characterization and detection of behavioral patterns using linear predictive coding of accelerometer sensor data.
2011,A wearable system for the visually impaired.
2011,Dynamic neural network detection of tremor and dyskinesia from wearable sensor data.
2011,Wearable shoe-based device for rehabilitation of stroke patients.
2011,RUPERT closed loop control design.
2011,Graph-based methodology for the kinematic synthesis of wearable assistive robots for the lower limbs.
2011,Flexible PDMS -based dry electrodes for electro-optic acquisition of ECG signals in wearable devices.
2011,A comprehensive motor symptom monitoring and management system: the bradykinesia case.
2011,Design of packet erasure mitigation technique using a digital fountain code for wearable wireless body area networks.
2011,Engineering evaluation of the energy-storing orthosis FES gait system.
2011,Prototype of a wearable system for remote fetal monitoring during pregnancy.
2011,"A low-power, wireless, 8-channel EEG monitoring headset."
2011,SHIMMER: an extensible platform for physiological signal capture.
2011,Fire fighters and rescuers monitoring through wearable sensors: The ProeTEX project.
2011,Psychophysiological signals associated with affective states.
2011,Dry electrode bio-potential recordings.
2011,Development of a wearable vital signs monitor for healthcare.
2011,bioLights: light emitting wear for visualizing lower-limb muscle activity.
2011,The ear as a location for wearable vital signs monitoring.
2011,Emerging low energy Wearable Body Sensor Networks using patch sensors for continuous healthcare applications.
2011,Wearable monitoring of lumbar spine curvature by inertial and e-textile sensory fusion.
2011,Development of a system to measure local measurement conditions around textile electrodes.
2011,Predicting losses of balance during upright stance: evaluation of a novel approach based on wearable accelerometers.
2011,A novel dynamic sensing of wearable digital textile sensor with body motion analysis.
2011,Comparison of median filter and discrete dyadic wavelet transform for noise cancellation in electrocardiogram.
2011,A system for ubiquitous fall monitoring at home via a wireless sensor network.
2011,Personalized building-embedded and wearable monitoring infrastructures with mediated data transfer.
2011,Software simulation of unobtrusive falls detection at night-time using passive infrared and pressure mat sensors.
2011,Bandwidth tunable amplifier for recording biopotential signals.
2011,Standard filter approximations for low power Continuous Wavelet Transforms.
2011,Effects of additional workload on hand and tongue performance.
2011,BioTones: a wearable device for EMG auditory biofeedback.
2011,Direct Analog-to-QRS detection front-end architecture for wearable ECG applications.
2011,Recognizing physical activity from ego-motion of a camera.
2011,"A miniature, wearable activity/fall monitor to assess the efficacy of mobility therapy for children with cerebral palsy during everyday living."
2011,Home monitoring of patients with Parkinson's disease via wearable technology and a web-based application.
2011,Wearable sensors: opportunities and challenges for low-cost health care.
2011,Health informatics for low-cost and high-quality health care.
2011,Insole sensor system for real-time detection of biped slip.
2011,System-level design trade-offs for truly wearable wireless medical devices.
2011,Tracking motor recovery in stroke survivors undergoing rehabilitation using wearable technology.
2011,"CHRONIOUS: an open, ubiquitous and adaptive chronic disease management platform for chronic obstructive pulmonary disease (COPD), chronic kidney disease (CKD) and renal insufficiency."
2011,Measurement of distal EMG signals using a wearable device for reading facial expressions.
2011,A wearable respiratory biofeedback system based on body sensor networks.
